date,ndvi_mean,ndvi_median,count,ndvi_std
2022-01-27,0.20162603980770516,0.1992080956697464,2649889,0.07739111976004179
2022-02-12,0.18379897233431286,0.19036442041397095,2649889,0.099400298562002
2022-03-08,0.21499325066068806,0.21545827388763428,2649889,0.07052950852928487
2022-04-17,0.24329486065265377,0.24329659342765808,2649889,0.07633964212389405
2022-05-27,0.28982350770164333,0.30329301953315735,2649889,0.08795431278306377
2022-10-18,0.3031734065087255,0.3162621557712555,2649889,0.08626438390180291
2022-11-11,0.25633731733668846,0.26576030254364014,2649889,0.0862712688708115
2022-12-05,0.2253620340323689,0.22849777340888977,2649889,0.09074266964471026
2023-01-14,0.19798367025939578,0.19608600437641144,2649889,0.08581579567076232
2023-02-07,0.18332793845327106,0.1817144900560379,2649889,0.07196920404526946
2023-03-03,0.1794895701291639,0.17918460071086884,2649889,0.06352877799687211
2023-04-04,0.2248434745757275,0.22504617273807526,2649889,0.07204529430828253
2023-05-06,0.22397466459915868,0.22296330332756042,2649889,0.09650943722836833
2023-06-07,0.23422632042323283,0.24858613312244415,2649889,0.10981257113117628
2023-10-21,0.2929426713722726,0.30736690759658813,2649889,0.088240377178103
2023-11-14,0.2620742793377383,0.2709483504295349,2649889,0.0881224377864126
2023-12-16,0.2167741743144713,0.21760553121566772,2649889,0.09058659197468238
2024-02-10,0.20068788730395876,0.1969245970249176,2649889,0.07729185225312911
2024-03-13,0.20507715134482993,0.2016768902540207,2649889,0.06856840417019595
2024-04-30,0.22278730354365786,0.21569211781024933,2649889,0.07637697692752865
2024-05-16,0.23593320795701253,0.23094728589057922,2649889,0.09208353574444404
2024-10-23,0.287338167749668,0.297622948884964,2649889,0.08559521745764014
2024-11-24,0.21441666990579605,0.21883796155452728,2649889,0.09936330705099058
2024-12-18,0.2111440799973131,0.2120569944381714,2649889,0.09227770877420803
